unitid,institution name,year,Fac_Total,Fac_AmerIn_AlaNative,FacPer_AmerIn_AlaNative,Fac_Asian,FacPer_Asian,Fac_AfrAmer,FacPer_AfrAmer,Fac_Hispanic,FacPer_Hispanic,Fac_NativeHai_PI,FacPer_NativeHai_PI,Fac_White,FacPer_White,Fac_Two_or_More,FacPer_Two_or_More,Fac_BiPOC,FacPer_BiPOC
377555,University of Washington-Bothell Campus,2015,216,1,0.00462963,17,0.078703704,4,0.018518519,10,0.046296296,0,0,125,0.578703704,6,0.027777778,38,0.175925926
377564,University of Washington-Tacoma Campus,2015,234,1,0.004273504,13,0.055555556,6,0.025641026,13,0.055555556,1,0.004273504,141,0.602564103,7,0.02991453,41,0.175213675
380377,Northwest Indian College,2015,31,12,0.387096774,3,0.096774194,0,0,0,0,1,0.032258065,14,0.451612903,1,0.032258065,17,0.548387097
234827,Central Washington University,2017,507,3,0.00591716,20,0.039447732,11,0.021696252,19,0.037475345,5,0.009861933,339,0.668639053,4,0.007889546,62,0.122287968
234915,City University of Seattle,2017,33,0,0,4,0.121212121,0,0,1,0.03030303,0,0,28,0.848484848,0,0,5,0.151515152
235024,Cornish College of the Arts,2017,54,0,0,2,0.037037037,3,0.055555556,1,0.018518519,0,0,42,0.777777778,2,0.037037037,8,0.148148148
235097,Eastern Washington University,2017,478,4,0.008368201,35,0.073221757,11,0.023012552,19,0.039748954,1,0.00209205,385,0.805439331,10,0.020920502,80,0.167364017
235167,The Evergreen State College,2017,155,6,0.038709677,14,0.090322581,7,0.04516129,14,0.090322581,0,0,104,0.670967742,4,0.025806452,45,0.290322581
235316,Gonzaga University,2017,441,3,0.006802721,23,0.052154195,2,0.004535147,18,0.040816327,0,0,374,0.848072562,5,0.011337868,51,0.115646259
235422,Heritage University,2017,73,5,0.068493151,2,0.02739726,2,0.02739726,7,0.095890411,1,0.01369863,55,0.753424658,1,0.01369863,18,0.246575342
235547,Bastyr University,2017,27,0,0,6,0.222222222,0,0,0,0,0,0,20,0.740740741,0,0,6,0.222222222
236133,Northwest University,2017,57,0,0,5,0.087719298,1,0.01754386,1,0.01754386,0,0,48,0.842105263,2,0.035087719,9,0.157894737
236230,Pacific Lutheran University,2017,223,0,0,15,0.067264574,1,0.004484305,12,0.053811659,0,0,187,0.838565022,3,0.013452915,31,0.139013453
236328,University of Puget Sound,2017,245,0,0,12,0.048979592,7,0.028571429,9,0.036734694,0,0,176,0.718367347,4,0.016326531,32,0.130612245
236452,Saint Martin's University,2017,86,1,0.011627907,9,0.104651163,3,0.034883721,3,0.034883721,0,0,70,0.813953488,0,0,16,0.186046512
236577,Seattle Pacific University,2017,212,0,0,15,0.070754717,10,0.047169811,7,0.033018868,0,0,159,0.75,2,0.009433962,34,0.160377358
236595,Seattle University,2017,520,2,0.003846154,67,0.128846154,15,0.028846154,29,0.055769231,0,0,305,0.586538462,36,0.069230769,149,0.286538462
236896,Walla Walla University,2017,98,0,0,2,0.020408163,5,0.051020408,3,0.030612245,0,0,85,0.867346939,0,0,10,0.102040816
236939,Washington State University,2017,1383,6,0.004338395,115,0.083152567,11,0.007953724,47,0.033984093,3,0.002169197,770,0.556760665,16,0.011569053,198,0.143167028
236948,University of Washington-Seattle Campus,2017,3912,14,0.003578732,584,0.149284254,63,0.016104294,157,0.040132924,3,0.000766871,2571,0.657208589,78,0.01993865,899,0.229805726
237011,Western Washington University,2017,643,7,0.01088647,39,0.060653188,8,0.01244168,26,0.040435459,0,0,475,0.738724728,24,0.037325039,104,0.161741835
237057,Whitman College,2017,187,1,0.005347594,13,0.069518717,5,0.026737968,9,0.048128342,1,0.005347594,139,0.743315508,0,0,29,0.155080214
237066,Whitworth University,2017,171,0,0,4,0.023391813,4,0.023391813,6,0.035087719,0,0,155,0.906432749,0,0,14,0.081871345
377555,University of Washington-Bothell Campus,2017,221,1,0.004524887,34,0.153846154,9,0.040723982,15,0.067873303,1,0.004524887,133,0.601809955,3,0.013574661,63,0.285067873
377564,University of Washington-Tacoma Campus,2017,247,1,0.004048583,28,0.113360324,5,0.020242915,13,0.052631579,2,0.008097166,150,0.607287449,8,0.032388664,57,0.230769231
380377,Northwest Indian College,2017,29,13,0.448275862,2,0.068965517,0,0,0,0,0,0,13,0.448275862,0,0,15,0.517241379
234827,Central Washington University,2018,504,2,0.003968254,29,0.057539683,12,0.023809524,14,0.027777778,4,0.007936508,350,0.694444444,12,0.023809524,73,0.14484127
234915,City University of Seattle,2018,29,0,0,4,0.137931034,3,0.103448276,0,0,0,0,22,0.75862069,0,0,7,0.24137931
235024,Cornish College of the Arts,2018,50,0,0,2,0.04,3,0.06,2,0.04,0,0,38,0.76,2,0.04,9,0.18
235097,Eastern Washington University,2018,447,3,0.006711409,16,0.035794183,12,0.026845638,12,0.026845638,0,0,353,0.789709172,7,0.015659955,50,0.111856823
235167,The Evergreen State College,2018,134,5,0.037313433,12,0.089552239,5,0.037313433,8,0.059701493,0,0,96,0.71641791,4,0.029850746,34,0.253731343
235316,Gonzaga University,2018,457,4,0.008752735,21,0.04595186,6,0.013129103,16,0.035010941,0,0,382,0.835886214,5,0.010940919,52,0.113785558
235422,Heritage University,2018,62,4,0.064516129,1,0.016129032,3,0.048387097,8,0.129032258,1,0.016129032,44,0.709677419,1,0.016129032,18,0.290322581
235547,Bastyr University,2018,30,0,0,4,0.133333333,0,0,0,0,0,0,23,0.766666667,0,0,4,0.133333333
236133,Northwest University,2018,52,0,0,3,0.057692308,1,0.019230769,1,0.019230769,0,0,44,0.846153846,3,0.057692308,8,0.153846154
236230,Pacific Lutheran University,2018,199,0,0,15,0.075376884,1,0.005025126,10,0.050251256,0,0,167,0.83919598,3,0.015075377,29,0.145728643
236328,University of Puget Sound,2018,242,0,0,13,0.053719008,8,0.033057851,7,0.02892562,0,0,173,0.714876033,5,0.020661157,33,0.136363636
236452,Saint Martin's University,2018,91,1,0.010989011,5,0.054945055,1,0.010989011,2,0.021978022,0,0,69,0.758241758,4,0.043956044,13,0.142857143
236577,Seattle Pacific University,2018,210,0,0,18,0.085714286,10,0.047619048,6,0.028571429,0,0,153,0.728571429,3,0.014285714,37,0.176190476
236595,Seattle University,2018,510,1,0.001960784,66,0.129411765,17,0.033333333,32,0.062745098,0,0,297,0.582352941,0,0,116,0.22745098
236896,Walla Walla University,2018,99,0,0,2,0.02020202,4,0.04040404,5,0.050505051,0,0,83,0.838383838,0,0,11,0.111111111
236939,Washington State University,2018,1353,6,0.00443459,114,0.084257206,11,0.008130081,50,0.036954915,3,0.002217295,737,0.544715447,14,0.010347376,198,0.146341463
236948,University of Washington-Seattle Campus,2018,4279,16,0.003739191,660,0.154241645,75,0.01752746,177,0.041364805,5,0.001168497,2807,0.655994391,75,0.01752746,1008,0.235569058
237011,Western Washington University,2018,639,5,0.007824726,43,0.067292645,9,0.014084507,28,0.043818466,1,0.001564945,453,0.708920188,23,0.03599374,109,0.17057903
237057,Whitman College,2018,181,0,0,11,0.060773481,4,0.022099448,7,0.038674033,4,0.022099448,137,0.756906077,1,0.005524862,27,0.149171271
237066,Whitworth University,2018,184,0,0,7,0.038043478,2,0.010869565,6,0.032608696,0,0,168,0.913043478,0,0,15,0.081521739
377555,University of Washington-Bothell Campus,2018,218,1,0.004587156,38,0.174311927,8,0.036697248,11,0.050458716,1,0.004587156,130,0.596330275,5,0.02293578,64,0.293577982
377564,University of Washington-Tacoma Campus,2018,272,1,0.003676471,34,0.125,8,0.029411765,18,0.066176471,2,0.007352941,164,0.602941176,7,0.025735294,70,0.257352941
380377,Northwest Indian College,2018,26,12,0.461538462,2,0.076923077,0,0,1,0.038461538,0,0,9,0.346153846,2,0.076923077,17,0.653846154
234827,Central Washington University,2019,457,2,0.004376368,26,0.056892779,11,0.024070022,27,0.059080963,4,0.008752735,376,0.822757112,8,0.01750547,78,0.170678337
234915,City University of Seattle,2019,31,0,0,5,0.161290323,2,0.064516129,0,0,0,0,23,0.741935484,0,0,7,0.225806452
