institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
234696,2020,42,1.0,0.0,0.0,5.0,0.0,30.0,2.0,4.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,16.0,1.0,2.0,0.0
234827,2010,1379,10.0,41.0,19.0,107.0,5.0,1099.0,60.0,34.0,4.0,769.0,5.0,18.0,10.0,67.0,2.0,611.0,32.0,20.0,4.0
234827,2011,1425,11.0,49.0,30.0,120.0,1.0,1117.0,71.0,17.0,9.0,796.0,9.0,24.0,11.0,67.0,0.0,636.0,37.0,6.0,6.0
234827,2012,1465,7.0,49.0,29.0,111.0,6.0,1157.0,82.0,17.0,7.0,781.0,5.0,20.0,10.0,61.0,0.0,631.0,40.0,10.0,4.0
234827,2013,1479,12.0,50.0,29.0,115.0,3.0,1151.0,80.0,34.0,5.0,759.0,6.0,28.0,10.0,59.0,1.0,604.0,34.0,17.0,0.0
234827,2014,1552,8.0,38.0,28.0,123.0,7.0,1214.0,81.0,37.0,16.0,829.0,1.0,23.0,12.0,63.0,1.0,657.0,40.0,22.0,10.0
234827,2015,1646,10.0,32.0,48.0,128.0,2.0,1209.0,123.0,63.0,31.0,851.0,3.0,9.0,18.0,70.0,0.0,642.0,59.0,33.0,17.0
234827,2016,1659,10.0,43.0,42.0,181.0,11.0,1148.0,108.0,93.0,23.0,876.0,4.0,17.0,15.0,100.0,5.0,622.0,57.0,44.0,12.0
234827,2017,1360,5.0,39.0,37.0,153.0,7.0,912.0,98.0,86.0,23.0,701.0,2.0,16.0,10.0,78.0,2.0,490.0,50.0,42.0,11.0
234827,2018,1416,13.0,42.0,25.0,191.0,16.0,889.0,114.0,102.0,24.0,775.0,3.0,24.0,10.0,106.0,6.0,496.0,59.0,62.0,9.0
234827,2019,1386,11.0,40.0,35.0,212.0,4.0,856.0,117.0,104.0,7.0,792.0,4.0,31.0,16.0,115.0,3.0,503.0,60.0,58.0,2.0
234827,2020,1198,8.0,36.0,50.0,157.0,16.0,723.0,113.0,83.0,12.0,699.0,3.0,19.0,27.0,79.0,6.0,464.0,57.0,39.0,5.0
234845,2012,222,1.0,2.0,7.0,9.0,0.0,191.0,0.0,12.0,0.0,61.0,0.0,0.0,1.0,3.0,0.0,56.0,0.0,1.0,0.0
234845,2013,264,5.0,10.0,4.0,18.0,0.0,202.0,0.0,17.0,8.0,107.0,2.0,5.0,0.0,5.0,0.0,87.0,0.0,4.0,4.0
234845,2014,257,2.0,1.0,4.0,19.0,0.0,213.0,6.0,9.0,3.0,87.0,0.0,0.0,1.0,4.0,0.0,74.0,2.0,5.0,1.0
234845,2015,287,3.0,1.0,4.0,21.0,0.0,238.0,6.0,13.0,1.0,105.0,0.0,1.0,0.0,7.0,0.0,87.0,3.0,6.0,1.0
234845,2016,313,8.0,0.0,4.0,17.0,1.0,261.0,11.0,11.0,0.0,105.0,2.0,0.0,1.0,7.0,0.0,86.0,4.0,5.0,0.0
234845,2017,295,5.0,0.0,1.0,21.0,3.0,232.0,18.0,12.0,3.0,100.0,0.0,0.0,0.0,8.0,1.0,79.0,4.0,7.0,1.0
234845,2018,303,4.0,1.0,6.0,23.0,2.0,231.0,20.0,15.0,1.0,117.0,2.0,0.0,0.0,11.0,0.0,92.0,5.0,7.0,0.0
234845,2019,355,5.0,4.0,4.0,33.0,1.0,272.0,15.0,11.0,10.0,141.0,1.0,1.0,1.0,11.0,0.0,114.0,7.0,4.0,2.0
234845,2020,324,4.0,1.0,2.0,27.0,3.0,250.0,22.0,12.0,3.0,135.0,1.0,1.0,0.0,5.0,1.0,114.0,5.0,8.0,0.0
234915,2010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
234915,2011,8,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
234915,2012,8,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
234915,2013,7,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,,,,,,,,,,
234915,2015,15,1.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0
234915,2016,21,0.0,2.0,2.0,1.0,0.0,7.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
234915,2017,8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0
234915,2018,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
234915,2019,6,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
234933,2015,958,7.0,31.0,27.0,55.0,3.0,725.0,58.0,50.0,2.0,238.0,1.0,6.0,5.0,10.0,0.0,186.0,13.0,15.0,2.0
234933,2016,632,10.0,19.0,26.0,42.0,6.0,442.0,42.0,39.0,6.0,155.0,4.0,6.0,4.0,4.0,1.0,118.0,10.0,4.0,4.0
234933,2017,965,13.0,29.0,21.0,108.0,6.0,687.0,74.0,24.0,3.0,239.0,1.0,11.0,5.0,21.0,0.0,176.0,16.0,9.0,0.0
234933,2018,1118,7.0,47.0,28.0,105.0,12.0,743.0,108.0,51.0,17.0,269.0,3.0,14.0,6.0,15.0,2.0,195.0,16.0,16.0,2.0
