institute_id,year,e_total,e_AmerInd_AlaskNtv,e_Asian,e_AfrAmer,e_Hispanic,e_Hi_PacIsland,e_White,e_2orMore,e_unknown,e_nonresAlien,c_total,c_AmerInd_AlaskNtv,c_Asian,c_AfrAmer,c_Hispanic,c_Hi_PacIsland,c_White,c_2orMore,c_unknown,c_nonresAlien
234845,2019,3077.0,27.0,35.0,44.0,376.0,10.0,2008.0,186.0,374.0,17.0,811,17,13,22,108,6,531,64,46,4
234845,2020,2314.0,22.0,31.0,46.0,316.0,8.0,1482.0,158.0,240.0,11.0,664,12,6,11,73,6,479,45,25,7
234915,2014,2545.0,14.0,88.0,117.0,139.0,10.0,776.0,20.0,968.0,413.0,510,6,30,33,10,4,293,3,65,66
234915,2015,2347.0,31.0,305.0,128.0,148.0,33.0,788.0,38.0,469.0,407.0,544,5,21,32,23,2,271,5,83,102
234915,2016,2246.0,11.0,62.0,112.0,59.0,8.0,470.0,31.0,1178.0,315.0,635,7,30,34,20,4,252,10,157,121
234915,2017,2199.0,11.0,61.0,100.0,63.0,0.0,394.0,19.0,1257.0,294.0,718,2,24,34,25,3,189,14,262,165
234915,2018,2113.0,20.0,148.0,215.0,147.0,15.0,1065.0,70.0,163.0,270.0,419,3,14,20,2,1,64,5,217,93
234915,2019,1960.0,14.0,138.0,176.0,101.0,12.0,835.0,61.0,357.0,266.0,673,5,44,45,35,4,282,20,92,146
234915,2020,2052.0,13.0,155.0,177.0,134.0,11.0,770.0,80.0,549.0,163.0,619,6,39,50,35,3,272,16,77,121
234933,2014,10911.0,83.0,385.0,222.0,944.0,64.0,7560.0,834.0,698.0,121.0,2301,12,92,61,171,12,1684,133,127,9
234933,2015,10477.0,60.0,408.0,202.0,944.0,56.0,6987.0,833.0,879.0,108.0,2242,21,74,50,176,13,1599,146,144,19
234933,2016,10318.0,60.0,424.0,171.0,1038.0,69.0,6729.0,841.0,905.0,81.0,2172,16,87,51,166,11,1525,152,152,12
234933,2017,10000.0,52.0,435.0,142.0,1065.0,69.0,6398.0,864.0,903.0,72.0,2005,13,72,38,168,8,1402,139,152,13
234933,2018,9878.0,37.0,404.0,185.0,1098.0,67.0,6177.0,870.0,980.0,60.0,2129,12,106,41,180,9,1430,167,158,26
234933,2019,9233.0,34.0,443.0,173.0,1089.0,62.0,5862.0,674.0,836.0,60.0,2079,8,102,34,188,12,1377,175,165,18
234933,2020,7665.0,21.0,431.0,138.0,956.0,56.0,5053.0,479.0,483.0,48.0,1654,4,93,25,152,9,1135,108,109,19
234951,2014,3682.0,30.0,274.0,552.0,256.0,75.0,2019.0,187.0,264.0,25.0,1075,13,69,144,56,18,669,32,62,12
234951,2015,3650.0,34.0,242.0,478.0,280.0,75.0,2033.0,265.0,214.0,29.0,1064,8,98,150,58,15,632,37,53,13
234951,2016,3978.0,32.0,264.0,478.0,353.0,72.0,2105.0,306.0,337.0,31.0,1154,8,104,151,92,22,614,75,75,13
234951,2017,3883.0,34.0,249.0,449.0,371.0,84.0,1995.0,319.0,351.0,31.0,1132,4,107,127,103,14,591,82,88,16
234951,2018,3905.0,32.0,285.0,443.0,419.0,89.0,1950.0,376.0,282.0,29.0,1237,8,104,130,118,18,661,102,86,10
234951,2019,3973.0,32.0,263.0,445.0,462.0,96.0,1990.0,392.0,269.0,24.0,1326,11,123,141,138,22,643,139,88,21
234951,2020,3591.0,23.0,250.0,393.0,409.0,77.0,1763.0,375.0,278.0,23.0,1388,8,124,124,143,14,695,164,102,14
234979,2014,6385.0,56.0,119.0,84.0,2011.0,12.0,3680.0,187.0,227.0,9.0,1258,7,27,21,322,2,815,36,26,2
234979,2015,6422.0,47.0,128.0,75.0,2099.0,15.0,3560.0,210.0,279.0,9.0,1308,9,28,15,379,3,800,34,37,3
234979,2016,6489.0,45.0,144.0,67.0,2184.0,19.0,3458.0,230.0,332.0,10.0,1329,8,33,16,438,3,730,42,54,5
234979,2017,6708.0,44.0,120.0,85.0,2556.0,11.0,3386.0,245.0,252.0,9.0,1447,14,46,8,504,0,740,49,84,2
234979,2018,7034.0,35.0,141.0,77.0,2730.0,14.0,3529.0,271.0,227.0,10.0,1398,7,38,11,494,3,709,48,86,2
234979,2019,7280.0,31.0,138.0,83.0,2951.0,12.0,3527.0,308.0,221.0,9.0,1353,4,28,17,501,1,699,51,51,1
234979,2020,6745.0,35.0,117.0,67.0,2758.0,15.0,3183.0,334.0,233.0,3.0,1496,3,41,11,597,3,718,62,58,3
235024,2014,767.0,6.0,43.0,29.0,76.0,2.0,484.0,63.0,42.0,22.0,168,0,12,4,13,0,106,11,19,3
235024,2015,724.0,2.0,41.0,27.0,80.0,4.0,437.0,58.0,52.0,23.0,192,3,6,8,13,0,120,15,22,5
235024,2016,674.0,5.0,36.0,21.0,75.0,5.0,426.0,64.0,30.0,12.0,172,2,10,7,22,1,101,12,7,10
235024,2017,658.0,5.0,29.0,22.0,90.0,4.0,405.0,64.0,31.0,8.0,136,0,7,3,10,0,96,10,5,5
235024,2018,626.0,4.0,36.0,20.0,87.0,2.0,379.0,63.0,29.0,6.0,120,0,9,6,13,1,73,13,2,3
235024,2019,602.0,4.0,37.0,28.0,79.0,1.0,348.0,57.0,29.0,19.0,145,1,8,1,21,1,93,12,8,0
235024,2020,482.0,4.0,31.0,21.0,50.0,0.0,287.0,48.0,26.0,15.0,140,2,7,5,17,1,87,13,6,2
235097,2014,13453.0,167.0,395.0,432.0,1772.0,37.0,8667.0,604.0,975.0,404.0,2678,29,68,70,230,7,1865,82,205,122
235097,2015,12361.0,145.0,367.0,425.0,1546.0,37.0,8093.0,660.0,660.0,428.0,2699,29,101,78,242,3,1946,94,114,92
235097,2016,12279.0,137.0,354.0,410.0,1653.0,38.0,7675.0,696.0,819.0,497.0,2765,34,82,82,287,7,1962,107,100,104
235097,2017,12607.0,140.0,347.0,390.0,1842.0,35.0,7478.0,801.0,1069.0,505.0,2659,24,87,67,317,4,1872,111,70,107
235097,2018,12633.0,118.0,366.0,408.0,1936.0,39.0,7347.0,816.0,1179.0,424.0,2857,32,77,73,359,4,1992,149,75,96
235097,2019,12410.0,119.0,366.0,419.0,1912.0,57.0,7159.0,850.0,1212.0,316.0,2837,35,77,73,352,8,1948,150,78,116
235097,2020,12349.0,133.0,390.0,415.0,1990.0,57.0,6709.0,789.0,1597.0,269.0,2963,36,94,78,387,5,1964,194,86,119
235103,2014,8993.0,88.0,1124.0,494.0,688.0,37.0,4167.0,441.0,849.0,1105.0,1580,31,153,91,93,9,825,63,102,213
